City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,janesville,42.6828,-89.0187,7.78,90,94,2.24,US,1673930307
300,sohag,26.557,31.6948,7.16,68,0,1.57,EG,1673930308
301,kuteynykove,47.8123,38.2882,-4.75,96,53,4.31,UA,1673930309
302,kapuskasing,49.4169,-82.4331,1.0,51,100,4.63,CA,1673930310
303,cabanas,22.9758,-82.9219,15.8,56,0,2.14,CU,1673930311
304,tabou,4.423,-7.3528,24.62,86,3,1.68,CI,1673930312
305,anchorage,61.2181,-149.9003,-1.31,89,75,4.12,US,1673930061
306,pueblo nuevo,23.3833,-105.3833,6.97,39,90,2.18,MX,1673929947
307,preobrazheniye,42.9019,133.9064,-6.23,36,2,2.39,RU,1673930314
308,amahai,-3.3333,128.9167,29.25,73,96,2.64,ID,1673930316
309,kualakapuas,-3.0091,114.3876,32.07,56,92,1.51,ID,1673930316
310,tura,25.5198,90.2201,20.63,28,0,1.14,IN,1673930195
311,kalakamati,-20.5929,27.3121,19.87,75,34,5.73,BW,1673930318
312,ponta delgada,37.7333,-25.6667,14.4,72,75,4.12,PT,1673930319
313,wenling,28.3669,121.36,8.03,49,11,4.04,CN,1673930320
314,visby,57.6409,18.296,2.25,93,100,8.75,SE,1673930320
315,pitimbu,-7.4706,-34.8086,25.33,80,98,2.43,BR,1673930321
316,seoul,37.5683,126.9778,-1.22,45,75,1.03,KR,1673930322
317,kasane,-17.8167,25.15,20.05,100,0,3.6,BW,1673930323
318,pascagoula,30.3658,-88.5561,18.35,92,40,1.54,US,1673930273
319,te anau,-45.4167,167.7167,22.85,44,24,2.96,NZ,1673930324
320,peniche,39.3558,-9.3811,15.06,92,88,13.56,PT,1673930325
321,berlevag,70.8578,29.0864,0.97,80,100,1.54,NO,1673930327
322,flinders,-34.5833,150.8552,28.43,63,5,4.02,AU,1673930328
323,berbera,10.4396,45.0143,23.55,73,33,1.18,SO,1673930329
324,harper,4.375,-7.7169,25.07,82,3,0.98,LR,1673930329
325,barra do corda,-5.5,-45.25,21.3,98,100,1.9,BR,1673930330
326,tutoia,-2.7619,-42.2744,22.9,89,99,3.45,BR,1673930331
327,quelimane,-17.8786,36.8883,25.97,94,75,1.03,MZ,1673930332
328,pevek,69.7008,170.3133,-35.93,99,12,1.51,RU,1673930333
329,kenora,49.8167,-94.4337,-1.46,93,100,4.12,CA,1673930093
330,rio gallegos,-51.6226,-69.2181,9.03,57,0,1.03,AR,1673930334
331,bengkulu,-3.8004,102.2655,28.51,67,73,3.11,ID,1673930335
332,dourbali,11.8091,15.8632,17.12,24,87,3.84,TD,1673930336
333,itarema,-2.9248,-39.9167,23.31,91,100,1.63,BR,1673930337
334,cherskiy,68.75,161.3,-37.41,96,100,1.82,RU,1673930338
335,honiara,-9.4333,159.95,29.42,70,94,2.71,SB,1673930218
336,rawson,-43.3002,-65.1023,17.04,70,100,3.74,AR,1673930339
337,tautira,-17.7333,-149.15,26.49,71,84,2.17,PF,1673930340
338,port moresby,-9.4431,147.1797,32.68,52,20,5.14,PG,1673930341
339,sao joao da barra,-21.6403,-41.0511,23.63,91,3,6.05,BR,1673930342
340,souillac,-20.5167,57.5167,27.21,69,75,7.72,MU,1673930343
341,ilhabela,-23.7781,-45.3581,23.92,92,32,0.22,BR,1673930344
342,grevesmuhlen,53.8667,11.1833,3.49,94,100,6.43,DE,1673930345
343,muros,42.7762,-9.0603,11.16,75,48,13.22,ES,1673930346
344,boralday,43.3578,76.8594,-14.08,66,20,1.0,KZ,1673930347
345,mandalgovi,45.7625,106.2708,-13.36,49,0,6.94,MN,1673930347
346,mount isa,-20.7333,139.5,31.87,48,100,4.12,AU,1673930348
